Data config,Model config,Section,Output,n_jobs,Load model,Model,Metric,Split type,Split size,Descriptors,n_bits,n_cv,Patience,Gridsearch,n_iter,Balanced acc,ROC AUC test,ROC AUC val,gparams
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['rdkit'],64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['maccs'],64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['mordred'],64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['morgan', 'maccs']",64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['morgan','mordred']",64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['morgan'],64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['rdkit'],64,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['maccs'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['mordred'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['morgan', 'maccs']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['morgan','mordred']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['morgan'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['rdkit'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['maccs'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['mordred'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['morgan', 'maccs']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['morgan','mordred']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['morgan'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['rdkit'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['maccs'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['mordred'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['morgan', 'maccs']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['morgan','mordred']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['morgan'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['rdkit'],256,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['maccs'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['mordred'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['morgan', 'maccs']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['morgan','mordred']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['morgan'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['rdkit'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['maccs'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['mordred'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['morgan', 'maccs']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['morgan','mordred']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['morgan'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['rdkit'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['maccs'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['mordred'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['morgan', 'maccs']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['morgan','mordred']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['morgan'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['rdkit'],512,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['maccs'],1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['mordred'],1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['morgan', 'maccs']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['morgan','mordred']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['morgan'],1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['rdkit'],1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['maccs'],1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['mordred'],1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['morgan', 'maccs']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['morgan','mordred']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['morgan'],1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['rdkit'],1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['maccs'],1024,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['mordred'],1024,5,100,True,100,,,,
